delta_t,threshold,cluster_id,best_t_days,mean_bmi,group_name
24,0.04100000000000001,3,123,29.0050345231067,群组2
24,0.04100000000000001,4,134,32.88320441884776,群组4
24,0.04100000000000001,5,165,38.321496709430576,群组6
24,0.04100000000000001,6,70,20.703125,群组1
24,0.04200000000000001,0,161,44.343701177,群组7
24,0.04200000000000001,1,139,30.83436199041856,群组3
24,0.04200000000000001,2,143,35.10079343899152,群组5
24,0.04200000000000001,3,127,29.0050345231067,群组2
24,0.04200000000000001,4,139,32.88320441884776,群组4
24,0.04200000000000001,5,165,38.321496709430576,群组6
24,0.04200000000000001,6,70,20.703125,群组1
24,0.04300000000000001,0,162,44.343701177,群组7
24,0.04300000000000001,1,142,30.83436199041856,群组3
24,0.04300000000000001,2,146,35.10079343899152,群组5
24,0.04300000000000001,3,130,29.0050345231067,群组2
24,0.04300000000000001,4,144,32.88320441884776,群组4
24,0.04300000000000001,5,165,38.321496709430576,群组6
24,0.04300000000000001,6,72,20.703125,群组1
24,0.04400000000000001,0,162,44.343701177,群组7
24,0.04400000000000001,1,145,30.83436199041856,群组3
24,0.04400000000000001,2,148,35.10079343899152,群组5
24,0.04400000000000001,3,133,29.0050345231067,群组2
24,0.04400000000000001,4,147,32.88320441884776,群组4
24,0.04400000000000001,5,165,38.321496709430576,群组6
24,0.04400000000000001,6,73,20.703125,群组1
24,0.04500000000000001,0,163,44.343701177,群组7
24,0.04500000000000001,1,147,30.83436199041856,群组3
24,0.04500000000000001,2,150,35.10079343899152,群组5
24,0.04500000000000001,3,136,29.0050345231067,群组2
24,0.04500000000000001,4,149,32.88320441884776,群组4
24,0.04500000000000001,5,165,38.321496709430576,群组6
24,0.04500000000000001,6,75,20.703125,群组1
26,0.035,0,158,44.343701177,群组7
26,0.035,1,120,30.83436199041856,群组3
26,0.035,2,126,35.10079343899152,群组5
26,0.035,3,111,29.0050345231067,群组2
26,0.035,4,116,32.88320441884776,群组4
26,0.035,5,160,38.321496709430576,群组6
26,0.035,6,70,20.703125,群组1
26,0.036000000000000004,0,159,44.343701177,群组7
26,0.036000000000000004,1,123,30.83436199041856,群组3
26,0.036000000000000004,2,129,35.10079343899152,群组5
26,0.036000000000000004,3,113,29.0050345231067,群组2
26,0.036000000000000004,4,119,32.88320441884776,群组4
26,0.036000000000000004,5,161,38.321496709430576,群组6
26,0.036000000000000004,6,70,20.703125,群组1
26,0.037000000000000005,0,160,44.343701177,群组7
26,0.037000000000000005,1,126,30.83436199041856,群组3
26,0.037000000000000005,2,132,35.10079343899152,群组5
26,0.037000000000000005,3,116,29.0050345231067,群组2
26,0.037000000000000005,4,123,32.88320441884776,群组4
26,0.037000000000000005,5,162,38.321496709430576,群组6
26,0.037000000000000005,6,70,20.703125,群组1
26,0.038000000000000006,0,160,44.343701177,群组7
26,0.038000000000000006,1,130,30.83436199041856,群组3
26,0.038000000000000006,2,135,35.10079343899152,群组5
26,0.038000000000000006,3,119,29.0050345231067,群组2
26,0.038000000000000006,4,127,32.88320441884776,群组4
26,0.038000000000000006,5,163,38.321496709430576,群组6
26,0.038000000000000006,6,70,20.703125,群组1
